filename,actual_label,vreg,template1_pred,template2_pred,template1_correct,template2_correct
biz01.fake.txt,fake,0.548,fake,fake,True,True
biz02.fake.txt,fake,0.467,fake,fake,True,True
biz03.fake.txt,fake,0.5,real,real,False,False
biz04.fake.txt,fake,0.483,fake,real,True,False
biz05.fake.txt,fake,0.56,real,fake,False,True
biz06.fake.txt,fake,0.65,real,real,False,False
biz07.fake.txt,fake,0.521,fake,real,True,False
biz08.fake.txt,fake,0.483,fake,fake,True,True
biz09.fake.txt,fake,0.45,real,real,False,False
biz10.fake.txt,fake,0.438,real,real,False,False
biz11.fake.txt,fake,0.567,real,real,False,False
biz12.fake.txt,fake,0.621,fake,real,True,False
biz13.fake.txt,fake,0.516,real,fake,False,True
biz14.fake.txt,fake,0.621,real,real,False,False
biz15.fake.txt,fake,0.583,real,real,False,False
biz16.fake.txt,fake,0.396,fake,fake,True,True
biz17.fake.txt,fake,0.383,fake,real,True,False
biz18.fake.txt,fake,0.667,real,real,False,False
biz19.fake.txt,fake,0.222,real,real,False,False
biz20.fake.txt,fake,0.569,fake,real,True,False
biz21.fake.txt,fake,0.5,fake,real,True,False
biz22.fake.txt,fake,0.434,real,fake,False,True
biz23.fake.txt,fake,0.514,real,real,False,False
biz24.fake.txt,fake,0.438,real,real,False,False
biz25.fake.txt,fake,0.569,fake,real,True,False
biz26.fake.txt,fake,0.517,fake,fake,True,True
biz27.fake.txt,fake,0.302,fake,real,True,False
biz28.fake.txt,fake,0.483,real,real,False,False
biz29.fake.txt,fake,0.433,real,fake,False,True
biz30.fake.txt,fake,0.45,fake,real,True,False
biz31.fake.txt,fake,0.422,fake,fake,True,True
biz32.fake.txt,fake,0.483,fake,real,True,False
biz33.fake.txt,fake,0.483,real,real,False,False
biz34.fake.txt,fake,0.393,fake,fake,True,True
biz35.fake.txt,fake,0.438,real,real,False,False
biz36.fake.txt,fake,0.621,real,real,False,False
biz37.fake.txt,fake,0.333,real,real,False,False
biz38.fake.txt,fake,0.438,fake,real,True,False
biz39.fake.txt,fake,0.567,fake,real,True,False
biz40.fake.txt,fake,0.424,real,fake,False,True
edu01.fake.txt,fake,0.5,fake,real,True,False
edu02.fake.txt,fake,0.722,real,real,False,False
edu03.fake.txt,fake,0.422,fake,real,True,False
edu04.fake.txt,fake,0.5,fake,real,True,False
edu05.fake.txt,fake,0.421,real,fake,False,True
edu06.fake.txt,fake,0.564,real,real,False,False
edu07.fake.txt,fake,0.621,real,real,False,False
edu08.fake.txt,fake,0.483,fake,real,True,False
edu09.fake.txt,fake,0.481,real,fake,False,True
edu10.fake.txt,fake,0.467,fake,real,True,False
edu11.fake.txt,fake,0.5,fake,real,True,False
edu12.fake.txt,fake,0.516,fake,fake,True,True
edu13.fake.txt,fake,0.468,fake,fake,True,True
edu14.fake.txt,fake,0.604,real,real,False,False
edu15.fake.txt,fake,0.422,fake,real,True,False
edu16.fake.txt,fake,0.567,fake,fake,True,True
edu17.fake.txt,fake,0.567,real,real,False,False
edu18.fake.txt,fake,0.567,real,real,False,False
edu19.fake.txt,fake,0.422,real,real,False,False
edu20.fake.txt,fake,0.467,real,real,False,False
edu21.fake.txt,fake,0.467,real,real,False,False
edu22.fake.txt,fake,0.567,real,real,False,False
edu23.fake.txt,fake,0.321,real,real,False,False
edu24.fake.txt,fake,0.56,real,real,False,False
edu25.fake.txt,fake,0.567,fake,fake,True,True
edu26.fake.txt,fake,0.422,real,fake,False,True
edu27.fake.txt,fake,0.483,fake,real,True,False
edu28.fake.txt,fake,0.517,fake,fake,True,True
edu29.fake.txt,fake,0.683,real,real,False,False
edu30.fake.txt,fake,0.483,real,real,False,False
edu31.fake.txt,fake,0.567,real,real,False,False
edu32.fake.txt,fake,0.621,real,fake,False,True
edu33.fake.txt,fake,0.567,real,real,False,False
edu34.fake.txt,fake,0.567,real,fake,False,True
edu35.fake.txt,fake,0.367,fake,real,True,False
edu36.fake.txt,fake,0.567,fake,fake,True,True
edu37.fake.txt,fake,0.323,real,real,False,False
edu38.fake.txt,fake,0.567,fake,fake,True,True
edu39.fake.txt,fake,0.56,real,real,False,False
edu40.fake.txt,fake,0.667,fake,real,True,False
entmt01.fake.txt,fake,0.683,real,real,False,False
entmt02.fake.txt,fake,0.458,fake,real,True,False
entmt03.fake.txt,fake,0.563,fake,real,True,False
entmt04.fake.txt,fake,0.483,fake,fake,True,True
entmt05.fake.txt,fake,0.383,real,real,False,False
entmt06.fake.txt,fake,0.483,real,real,False,False
entmt07.fake.txt,fake,0.483,real,real,False,False
entmt08.fake.txt,fake,0.467,real,real,False,False
entmt09.fake.txt,fake,0.667,real,real,False,False
entmt10.fake.txt,fake,0.583,real,real,False,False
entmt11.fake.txt,fake,0.517,fake,real,True,False
entmt12.fake.txt,fake,0.481,fake,real,True,False
entmt13.fake.txt,fake,0.567,real,real,False,False
entmt14.fake.txt,fake,0.583,real,real,False,False
entmt15.fake.txt,fake,0.583,real,real,False,False
entmt16.fake.txt,fake,0.438,real,real,False,False
entmt17.fake.txt,fake,0.667,real,real,False,False
entmt18.fake.txt,fake,0.333,real,real,False,False
entmt19.fake.txt,fake,0.467,real,real,False,False
entmt20.fake.txt,fake,0.422,real,real,False,False
entmt21.fake.txt,fake,0.438,real,real,False,False
entmt22.fake.txt,fake,0.569,real,real,False,False
entmt23.fake.txt,fake,0.65,real,real,False,False
entmt24.fake.txt,fake,0.567,real,real,False,False
entmt25.fake.txt,fake,0.516,fake,fake,True,True
entmt26.fake.txt,fake,0.438,real,real,False,False
entmt27.fake.txt,fake,0.458,real,real,False,False
entmt28.fake.txt,fake,0.438,real,real,False,False
entmt29.fake.txt,fake,0.328,real,real,False,False
entmt30.fake.txt,fake,0.583,real,real,False,False
entmt31.fake.txt,fake,0.567,real,real,False,False
entmt32.fake.txt,fake,0.383,real,real,False,False
entmt33.fake.txt,fake,0.569,real,real,False,False
entmt34.fake.txt,fake,0.438,real,real,False,False
entmt35.fake.txt,fake,0.483,real,real,False,False
entmt36.fake.txt,fake,0.483,fake,real,True,False
entmt37.fake.txt,fake,0.483,real,real,False,False
entmt38.fake.txt,fake,0.45,fake,real,True,False
entmt39.fake.txt,fake,0.567,real,real,False,False
entmt40.fake.txt,fake,0.467,fake,real,True,False
polit01.fake.txt,fake,0.424,fake,real,True,False
polit02.fake.txt,fake,0.567,fake,fake,True,True
polit03.fake.txt,fake,0.367,real,real,False,False
polit04.fake.txt,fake,0.483,real,real,False,False
polit05.fake.txt,fake,0.483,real,real,False,False
polit06.fake.txt,fake,0.521,fake,real,True,False
polit07.fake.txt,fake,0.467,real,real,False,False
polit08.fake.txt,fake,0.569,real,real,False,False
polit09.fake.txt,fake,0.483,real,real,False,False
polit10.fake.txt,fake,0.429,real,real,False,False
polit11.fake.txt,fake,0.483,fake,fake,True,True
polit12.fake.txt,fake,0.483,fake,real,True,False
polit13.fake.txt,fake,0.621,real,real,False,False
polit14.fake.txt,fake,0.567,fake,real,True,False
polit15.fake.txt,fake,0.567,real,real,False,False
polit16.fake.txt,fake,0.569,real,real,False,False
polit17.fake.txt,fake,0.464,fake,fake,True,True
polit18.fake.txt,fake,0.422,fake,fake,True,True
polit19.fake.txt,fake,0.483,fake,fake,True,True
polit20.fake.txt,fake,0.421,fake,fake,True,True
polit21.fake.txt,fake,0.324,fake,real,True,False
polit22.fake.txt,fake,0.481,fake,real,True,False
polit23.fake.txt,fake,0.483,real,real,False,False
polit24.fake.txt,fake,0.533,real,fake,False,True
polit25.fake.txt,fake,0.532,fake,real,True,False
polit26.fake.txt,fake,0.483,real,real,False,False
polit27.fake.txt,fake,0.538,real,fake,False,True
polit28.fake.txt,fake,0.422,real,real,False,False
polit29.fake.txt,fake,0.367,real,real,False,False
polit30.fake.txt,fake,0.568,real,real,False,False
polit31.fake.txt,fake,0.429,fake,fake,True,True
polit32.fake.txt,fake,0.483,fake,fake,True,True
polit33.fake.txt,fake,0.548,real,real,False,False
polit34.fake.txt,fake,0.516,fake,real,True,False
polit35.fake.txt,fake,0.702,real,real,False,False
polit36.fake.txt,fake,0.422,fake,fake,True,True
polit37.fake.txt,fake,0.5,real,real,False,False
polit38.fake.txt,fake,0.567,real,real,False,False
polit39.fake.txt,fake,0.483,real,real,False,False
polit40.fake.txt,fake,0.5,real,real,False,False
sports01.fake.txt,fake,0.683,real,real,False,False
sports02.fake.txt,fake,0.483,real,real,False,False
sports03.fake.txt,fake,0.683,fake,real,True,False
sports04.fake.txt,fake,0.224,real,real,False,False
sports05.fake.txt,fake,0.564,real,fake,False,True
sports06.fake.txt,fake,0.328,real,real,False,False
sports07.fake.txt,fake,0.396,fake,real,True,False
sports08.fake.txt,fake,0.583,fake,fake,True,True
sports09.fake.txt,fake,0.304,fake,real,True,False
sports10.fake.txt,fake,0.583,fake,real,True,False
sports11.fake.txt,fake,0.45,real,real,False,False
sports12.fake.txt,fake,0.438,real,real,False,False
sports13.fake.txt,fake,0.583,fake,real,True,False
sports14.fake.txt,fake,0.483,fake,fake,True,True
sports15.fake.txt,fake,0.607,real,real,False,False
sports16.fake.txt,fake,0.483,fake,real,True,False
sports17.fake.txt,fake,0.564,fake,fake,True,True
sports18.fake.txt,fake,0.483,fake,real,True,False
sports19.fake.txt,fake,0.467,real,real,False,False
sports20.fake.txt,fake,0.333,real,real,False,False
sports21.fake.txt,fake,0.621,real,real,False,False
sports22.fake.txt,fake,0.517,real,real,False,False
sports23.fake.txt,fake,0.583,real,real,False,False
sports24.fake.txt,fake,0.569,real,real,False,False
sports25.fake.txt,fake,0.467,real,fake,False,True
sports26.fake.txt,fake,0.467,real,real,False,False
sports27.fake.txt,fake,0.438,real,real,False,False
sports28.fake.txt,fake,0.521,fake,real,True,False
sports29.fake.txt,fake,0.75,real,real,False,False
sports30.fake.txt,fake,0.516,fake,real,True,False
sports31.fake.txt,fake,0.45,real,real,False,False
sports32.fake.txt,fake,0.421,real,real,False,False
sports33.fake.txt,fake,0.483,fake,real,True,False
sports34.fake.txt,fake,0.333,fake,real,True,False
sports35.fake.txt,fake,0.333,fake,real,True,False
sports36.fake.txt,fake,0.567,real,real,False,False
sports37.fake.txt,fake,0.569,real,real,False,False
sports38.fake.txt,fake,0.483,real,real,False,False
sports39.fake.txt,fake,0.561,real,real,False,False
sports40.fake.txt,fake,0.583,fake,real,True,False
tech001.fake.txt,fake,0.667,fake,real,True,False
tech002.fake.txt,fake,0.324,real,real,False,False
tech003.fake.txt,fake,0.532,fake,real,True,False
tech004.fake.txt,fake,0.467,real,real,False,False
tech005.fake.txt,fake,0.65,fake,real,True,False
tech006.fake.txt,fake,0.621,real,real,False,False
tech007.fake.txt,fake,0.438,fake,real,True,False
tech008.fake.txt,fake,0.429,real,real,False,False
tech009.fake.txt,fake,0.567,real,real,False,False
tech010.fake.txt,fake,0.5,fake,fake,True,True
tech011.fake.txt,fake,0.583,real,real,False,False
tech012.fake.txt,fake,0.367,real,real,False,False
tech013.fake.txt,fake,0.583,real,fake,False,True
tech014.fake.txt,fake,0.438,real,real,False,False
tech015.fake.txt,fake,0.567,real,real,False,False
tech016.fake.txt,fake,0.422,real,real,False,False
tech017.fake.txt,fake,0.567,real,real,False,False
tech018.fake.txt,fake,0.322,fake,fake,True,True
tech019.fake.txt,fake,0.483,real,real,False,False
tech020.fake.txt,fake,0.75,real,real,False,False
tech021.fake.txt,fake,0.429,fake,fake,True,True
tech022.fake.txt,fake,0.467,fake,fake,True,True
tech023.fake.txt,fake,0.564,fake,real,True,False
tech024.fake.txt,fake,0.429,real,real,False,False
tech025.fake.txt,fake,0.467,real,real,False,False
tech026.fake.txt,fake,0.621,real,real,False,False
tech027.fake.txt,fake,0.583,real,real,False,False
tech028.fake.txt,fake,0.483,real,real,False,False
tech029.fake.txt,fake,0.569,fake,real,True,False
tech030.fake.txt,fake,0.483,real,real,False,False
tech031.fake.txt,fake,0.533,fake,real,True,False
tech032.fake.txt,fake,0.521,fake,fake,True,True
tech033.fake.txt,fake,0.56,real,real,False,False
tech034.fake.txt,fake,0.5,fake,fake,True,True
tech035.fake.txt,fake,0.354,fake,fake,True,True
tech036.fake.txt,fake,0.583,real,real,False,False
tech037.fake.txt,fake,0.564,real,real,False,False
tech038.fake.txt,fake,0.621,real,real,False,False
tech039.fake.txt,fake,0.367,real,real,False,False
tech040.fake.txt,fake,0.567,fake,fake,True,True
biz01.legit.txt,real,0.483,fake,fake,False,False
biz02.legit.txt,real,0.533,real,real,True,True
biz03.legit.txt,real,0.567,real,real,True,True
biz04.legit.txt,real,0.533,fake,real,False,True
biz05.legit.txt,real,0.621,fake,real,False,True
biz06.legit.txt,real,0.483,fake,real,False,True
biz07.legit.txt,real,0.421,real,real,True,True
biz08.legit.txt,real,0.367,real,real,True,True
biz09.legit.txt,real,0.444,fake,real,False,True
biz10.legit.txt,real,0.328,fake,real,False,True
biz11.legit.txt,real,0.533,real,real,True,True
biz12.legit.txt,real,0.333,fake,real,False,True
biz13.legit.txt,real,0.567,real,real,True,True
biz14.legit.txt,real,0.667,fake,real,False,True
biz15.legit.txt,real,0.422,real,real,True,True
biz16.legit.txt,real,0.583,real,fake,True,False
biz17.legit.txt,real,0.483,fake,real,False,True
biz18.legit.txt,real,0.683,real,real,True,True
biz19.legit.txt,real,0.567,real,real,True,True
biz20.legit.txt,real,0.481,real,real,True,True
biz21.legit.txt,real,0.569,real,fake,True,False
biz22.legit.txt,real,0.467,real,real,True,True
biz23.legit.txt,real,0.567,real,real,True,True
biz24.legit.txt,real,0.5,fake,fake,False,False
biz25.legit.txt,real,0.32,real,real,True,True
biz26.legit.txt,real,0.567,real,real,True,True
biz27.legit.txt,real,0.567,real,fake,True,False
biz28.legit.txt,real,0.483,real,real,True,True
biz29.legit.txt,real,0.688,real,real,True,True
biz30.legit.txt,real,0.467,fake,fake,False,False
biz31.legit.txt,real,0.45,real,real,True,True
biz32.legit.txt,real,0.323,real,real,True,True
biz33.legit.txt,real,0.422,fake,real,False,True
biz34.legit.txt,real,0.467,real,real,True,True
biz35.legit.txt,real,0.5,real,real,True,True
biz36.legit.txt,real,0.607,real,real,True,True
biz37.legit.txt,real,0.333,real,real,True,True
biz38.legit.txt,real,0.65,real,fake,True,False
biz39.legit.txt,real,0.333,real,real,True,True
biz40.legit.txt,real,0.567,real,fake,True,False
edu01.legit.txt,real,0.569,real,real,True,True
edu02.legit.txt,real,0.71,real,real,True,True
edu03.legit.txt,real,0.483,real,real,True,True
edu04.legit.txt,real,0.481,real,fake,True,False
edu05.legit.txt,real,0.569,fake,real,False,True
edu06.legit.txt,real,0.383,real,real,True,True
edu07.legit.txt,real,0.667,real,fake,True,False
edu08.legit.txt,real,0.391,real,real,True,True
edu09.legit.txt,real,0.367,real,real,True,True
edu10.legit.txt,real,0.421,real,real,True,True
edu11.legit.txt,real,0.483,fake,fake,False,False
edu12.legit.txt,real,0.569,real,real,True,True
edu13.legit.txt,real,0.489,real,real,True,True
edu14.legit.txt,real,0.683,real,real,True,True
edu15.legit.txt,real,0.422,real,real,True,True
edu16.legit.txt,real,0.533,real,fake,True,False
edu17.legit.txt,real,0.438,real,real,True,True
edu18.legit.txt,real,0.567,fake,real,False,True
edu19.legit.txt,real,0.567,real,real,True,True
edu20.legit.txt,real,0.567,real,fake,True,False
edu21.legit.txt,real,0.467,fake,real,False,True
edu22.legit.txt,real,0.567,real,fake,True,False
edu23.legit.txt,real,0.328,real,real,True,True
edu24.legit.txt,real,0.569,real,fake,True,False
edu25.legit.txt,real,0.567,real,real,True,True
edu26.legit.txt,real,0.621,real,real,True,True
edu27.legit.txt,real,0.568,real,real,True,True
edu28.legit.txt,real,0.516,real,fake,True,False
edu29.legit.txt,real,0.655,fake,real,False,True
edu30.legit.txt,real,0.5,real,fake,True,False
edu31.legit.txt,real,0.583,real,real,True,True
edu32.legit.txt,real,0.65,real,real,True,True
edu33.legit.txt,real,0.567,real,fake,True,False
edu34.legit.txt,real,0.621,real,fake,True,False
edu35.legit.txt,real,0.683,real,fake,True,False
edu36.legit.txt,real,0.422,real,fake,True,False
edu37.legit.txt,real,0.422,real,real,True,True
edu38.legit.txt,real,0.483,real,real,True,True
edu39.legit.txt,real,0.568,real,real,True,True
edu40.legit.txt,real,0.321,real,real,True,True
entmt01.legit.txt,real,0.667,real,real,True,True
entmt02.legit.txt,real,0.452,real,real,True,True
entmt03.legit.txt,real,0.569,real,real,True,True
entmt04.legit.txt,real,0.567,real,real,True,True
entmt05.legit.txt,real,0.667,real,real,True,True
entmt06.legit.txt,real,0.533,real,real,True,True
entmt07.legit.txt,real,0.548,real,fake,True,False
entmt08.legit.txt,real,0.583,real,real,True,True
entmt09.legit.txt,real,0.517,real,real,True,True
entmt10.legit.txt,real,0.467,real,real,True,True
entmt11.legit.txt,real,0.421,fake,fake,False,False
entmt12.legit.txt,real,0.567,fake,real,False,True
entmt13.legit.txt,real,0.533,real,real,True,True
entmt14.legit.txt,real,0.621,real,fake,True,False
entmt15.legit.txt,real,0.483,real,real,True,True
entmt16.legit.txt,real,0.516,real,real,True,True
entmt17.legit.txt,real,0.483,real,fake,True,False
entmt18.legit.txt,real,0.583,real,real,True,True
entmt19.legit.txt,real,0.48,real,real,True,True
entmt20.legit.txt,real,0.467,real,real,True,True
entmt21.legit.txt,real,0.533,real,real,True,True
entmt22.legit.txt,real,0.5,real,real,True,True
entmt23.legit.txt,real,0.567,real,real,True,True
entmt24.legit.txt,real,0.583,fake,real,False,True
entmt25.legit.txt,real,0.533,real,real,True,True
entmt26.legit.txt,real,0.548,real,real,True,True
entmt27.legit.txt,real,0.533,real,real,True,True
entmt28.legit.txt,real,0.621,real,real,True,True
entmt29.legit.txt,real,0.383,real,fake,True,False
entmt30.legit.txt,real,0.655,real,real,True,True
